Data,Brand,Device name,Base price,Discout,Bonus,Gift_Details,Gift_value
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM G 990 Galaxy S21 FE 128GB NEW BZAFS (Gray),349890,299890,2998,"['Планшет SAMSUNG Galaxy Tab A7 lite SM T 225 NZAAS (gray) 8,7""/32GB/4G', 'Планшет SAMSUNG Galaxy Tab A7 lite SM T 225 NZSAS (silver) 8,7""/32GB/4G', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']","[99890, 99890, 89990, 89990, 89990, 89990]"
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 536 Galaxy A53 256GB ELBHS (Blue),279890,199890,19989
06/02/2023,HONOR,Телефон сотовый HONOR 70 (8/256GB) Emerald Green,299990,299990,29999,"['Наушники для телефона HONOR Choice Earbuds X3 (Gray)', 'Наушники для телефона HONOR Choice Earbuds X3']","[26980, 26980]"
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Redmi A1+ 2/32GB Light Blue,49990,49990,999
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM F 721 Galaxy Z Flip 4 5G 256GB (Lavender),599890,599890,11997,"['Смарт часы SAMSUNG Galaxy Watch4 Classic 46mm Black (SM-R890NZKACIS)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (purple)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (gray)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (white)']","[219890, 119990, 119990, 119990]"
06/02/2023,Apple,Телефон сотовый APPLE iPhone 14 128GB (Blue),559990,479990,24000
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM G 990 Galaxy S21 FE 256GB NEW BZAWS (Gray),389890,329890,3298,"['Планшет SAMSUNG Galaxy Tab A7 lite SM T 225 NZAAS (gray) 8,7""/32GB/4G', 'Планшет SAMSUNG Galaxy Tab A7 lite SM T 225 NZSAS (silver) 8,7""/32GB/4G', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']","[99890, 99890, 89990, 89990, 89990, 89990]"
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 325 Galaxy A32 128 GB FZKGS (Black),139890,99990,9999
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Redmi 10C 4/64GB Graphite Gray,79990,69990,699
06/02/2023,Apple,Телефон сотовый APPLE iPhone 12 64GB (Green),414990,379990,3799
06/02/2023,POCO,Телефон сотовый POCO F4 GT 12/256GB Cyber Yellow,399990,399990,7999
06/02/2023,Apple,Телефон сотовый APPLE iPhone 14 Pro Max 256GB (Gold),839990,799990,40000
06/02/2023,Xiaomi,Телефон сотовый XIAOMI 12T 8/256GB Black,299990,249990,24999
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Redmi 9C 64GB Midnight Gray,69990,69990,1399
06/02/2023,Apple,Телефон сотовый APPLE iPhone 12 128GB (Black),449990,414990,4149
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 135 Galaxy A13 64GB FZKVS (black),119890,89990,8999
06/02/2023,Apple,Телефон сотовый APPLE iPhone 12 128GB (Blue),449990,414990,4149
06/02/2023,Huawei,Телефон сотовый HUAWEI Nova Y70 4/64GB (Голубой кристалл) (MGA-LX9N),99890,72990,7299,['Смарт часы HUAWEI WATCH Fit графитовый черный (TIA-B09)'],[49890]
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM S 908 Galaxy S22 Ultra 5G 128GB BZGDS (Green),699890,549890,5498,"['Смарт часы SAMSUNG Galaxy Watch4 Classic 46mm Black (SM-R890NZKACIS)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (purple)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (gray)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (white)']","[219890, 119990, 119990, 119990]"
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM G 990 Galaxy S21 FE 128GB NEW BLVFS (Violet),349890,299890,2998,"['Планшет SAMSUNG Galaxy Tab A7 lite SM T 225 NZAAS (gray) 8,7""/32GB/4G', 'Планшет SAMSUNG Galaxy Tab A7 lite SM T 225 NZSAS (silver) 8,7""/32GB/4G', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Graphite) SM-R177NZKACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (White) SM-R177NZWACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Olive) SM-R177NZGACIS', 'Наушники для телефона SAMSUNG Galaxy Buds2 (Lavender) SM-R177NLVACIS']","[99890, 99890, 89990, 89990, 89990, 89990]"
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 032 Galaxy A03 Core 32GB (NEW) FZCDS (Copper),59890,49890,498
06/02/2023,Apple,Телефон сотовый APPLE iPhone 13 Pro Max 256GB Sierra Blue,779990,749990,7499
